2024-03-19 13:29:57.607 +03:00 [INF] ad
2024-03-19 13:37:54.445 +03:00 [INF] ad
2024-03-19 13:37:54.463 +03:00 [ERR] Errororoor
2024-03-19 14:11:56.591 +03:00 [INF] 0 File sent.
2024-03-19 14:14:37.168 +03:00 [INF] Message chat id : 0 ; File name - Updated data.json : File sent by user.
2024-03-19 15:58:00.889 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortDescendingForUniversalSide
2024-03-19 15:58:07.664 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.json"
2024-03-19 15:58:07.664 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SendJSONFile
2024-03-19 15:58:26.806 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:58:28.212 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:58:46.613 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:58:48.183 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:58:50.929 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 15:58:54.852 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 15:59:01.023 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 15:59:06.878 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_Id
2024-03-19 15:59:22.944 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 7 
2024-03-19 15:59:26.505 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.csv"
2024-03-19 15:59:26.506 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SendCSVFile
2024-03-19 15:59:27.766 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.json"
2024-03-19 15:59:27.767 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SendJSONFile
2024-03-19 15:59:50.479 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 16:11:00.755 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
